tweet_id,text,location,date
1630003285267472386,@softcorgamegirl Aren’t your legs cold? Lol That water isn’t deep enough 🤷🏻‍♂️,"New York, USA",2023-02-27
1630003194783756288,Getting sick of the cold and snow. 1554 infused veg stew. @TurfTastingTeam @foodiesofturf @newbelgium https://t.co/amg70nq9HD,"Eaton, CO",2023-02-27
1630003166514233345,I need a comforting #truecrime hug while I continue to cough. #Dateline https://t.co/xodPjy56Sj,"Union, KY",2023-02-27
1630002720605106176,Ever since I had this flu😒 my back is killing me😭.,"Miami, FL",2023-02-27
1630002532704751616,Shoutout to @djgeogeo for experiencing his first nascar race today. Hope he had a good time in the freezing cold.,"Fontana, CA",2023-02-27
1630002529747738624,"BURGLARY - COLD at 16400 SE DIVISION ST, PORT [Portland Police #PP23000052241] 14:40 #pdx911","Portland, OR",2023-02-27
1630002517760434176,"HELSINKI — A year ago, the day Russia invaded Ukraine and set in motion a devastating European ground war, Presiden… https://t.co/gf7GGwFoTx","Wilsonville, OR",2023-02-27
1630002128541618176,"So what’s it gonna be on this rainy Sunday Funday 🍻?

For beer descriptions &amp; full menu of beverages (including win… https://t.co/ReT94yAl5O",Discretion Brewing,2023-02-27
1630001956801376258,I’m convinced these 2 XFL teams have the best QBs in the league outside of the Battlehawks. They are throwing bullets,"Columbus, OH",2023-02-27
1630001782008209408,"@dgurdasani1 Fwiw, I caught covid traveling from Toronto to Portland. I hear air filtration on aircraft is better t… https://t.co/pYvMKJwUSC","Portland, OR",2023-02-27
1630000916861706240,@LittleC95700564 @DoranHunter1 @RepMTG Maybe you only had a cold or flu.,"Moscow, ID",2023-02-27
1630000379017543680,"I ordered an Uber so fast 😩 I'm too old for all that. Loud music gives me headaches, and if I have to be drunk to h… https://t.co/uU8tC1VCxt","Houston, TX",2023-02-27
1629999729571397632,"Cabbage &amp; Rice , Baked Pork Chops &amp; Macaroni… W/ Some Cold Kool-Aid","South Carolina, USA",2023-02-27
1629999543092940800,@dave_winx @RepMTG Another Spanish Flu?,"Moscow, ID",2023-02-27
1629999007463358464,"VEHICLE STOLEN - COLD at 4200 SE WOODSTOCK BLVD, PORT [Portland Police #PP23000052335] 14:58 #pdx911","Portland, OR",2023-02-27
1629998765464510467,Houston gonna win that XFL title. Wade Phillips ain’t out here for fun,"Columbus, OH",2023-02-27
1629998578956476416,No way I’ve had a stuffy nose for a week,"Austin, TX",2023-02-27
1629998365181181952,why is 65° (outside) nice but 65° (inside) is cold,"Papillion, NE",2023-02-27
1629998254145560578,"ACCIDENT - HIT AND RUN - COLD at 800 NW WALLULA AVE, GRSM [Gresham Police #PG23000008096] 15:57 #pdx911","Gresham, OR",2023-02-27
1629998140035334144,"Go, Darwin--that is cold, too true. https://t.co/SEz96Ip3OH","San Francisco, CA",2023-02-27
